time,d1,d2,d3,x,y,z
2025-04-25 20:33:37,431,404,322,160.69,281.17,328.09
2025-04-25 20:33:38,328,266,291,228.95,137.51,238.4
2025-04-25 20:33:38,116,67,159,109.61,75.05,60.56
2025-04-25 20:33:40,40,79,177,30.91,39.12,49.13
2025-04-25 20:33:41,366,373,390,36.7,76.42,386.82
2025-04-25 20:33:41,248,244,215,69.2,147.76,225.09
2025-04-25 20:33:42,248,244,269,69.2,86.56,254.96
2025-04-25 20:33:42,310,244,269,228.85,139.77,209.02
2025-04-25 20:33:42,212,233,136,15.81,185.3,154.85
2025-04-25 20:33:42,212,233,227,15.81,105.1,217.41
2025-04-25 20:33:42,307,233,227,245,181.5,143.53
2025-04-25 20:33:43,266,261,305,72.23,60.03,280.71
2025-04-25 20:33:43,266,261,292,72.23,77.82,276.3
2025-04-25 20:33:43,436,395,292,212.21,324.36,258.67
2025-04-25 20:33:45,175,77,201,187.4,68.48,47.08
2025-04-25 20:33:45,324,280,201,181.73,242.95,182.38
2025-04-25 20:33:47,64,62,187,61.55,33.38,62.72
2025-04-25 20:33:47,159,121,235,113.83,32.48,147.34
2025-04-25 20:33:48,115,71,217,105.1,22.52,97.32
2025-04-25 20:33:48,115,118,217,56.34,30.64,130.05
2025-04-25 20:33:48,186,172,32,84.38,198.46,12.19
2025-04-25 20:33:49,393,317,321,303.83,188.79,225.77
2025-04-25 20:33:49,393,303,321,343.5,182.18,166.57
2025-04-25 20:33:49,374,307,362,266.86,98.76,286.79
2025-04-25 20:33:50,158,155,207,64.66,69.17,162.41
2025-04-25 20:33:50,158,155,246,64.66,27.49,174.38
2025-04-25 20:33:51,370,341,394,153.16,56.61,365.15
2025-04-25 20:33:51,370,341,374,153.16,91.11,358.11
2025-04-25 20:33:51,275,223,209,180.9,167.98,179.11
2025-04-25 20:33:51,195,223,209,4.23,109.09,196.74
2025-04-25 20:33:53,214,147,225,177.53,82.31,145.75
2025-04-25 20:33:53,214,158,225,160.8,85.1,162.6
2025-04-25 20:33:53,214,158,221,160.8,89.31,160.32
2025-04-25 20:33:54,219,191,202,114.83,121.23,184.71
2025-04-25 20:33:54,330,221,339,337.5,53.42,113.33
2025-04-25 20:33:54,297,221,273,243.03,114.33,186.53
2025-04-25 20:33:55,187,137,106,140,159.57,45.02
2025-04-25 20:33:55,187,137,177,140,108.83,125.08
2025-04-25 20:33:55,438,399,269,205.76,359.09,218.5
2025-04-25 20:33:55,247,232,269,93.69,81.32,247.67
2025-04-25 20:33:55,247,232,72,93.69,245.9,86.53
2025-04-25 20:33:56,381,298,311,315.57,180.4,191.81
2025-04-25 20:33:57,298,298,311,60,95.21,308.09
2025-04-25 20:33:57,167,132,123,112.35,136.69,86.61
2025-04-25 20:33:57,167,132,143,112.35,123.11,105.02
2025-04-25 20:33:57,167,132,208,112.35,67.45,147.09
2025-04-25 20:33:57,167,132,226,112.35,48.93,154.25
2025-04-25 20:33:57,382,362,226,127,319.27,227.34
2025-04-25 20:33:57,382,362,186,127,358.6,158.18
2025-04-25 20:33:58,396,362,186,175.88,374.89,99.98
2025-04-25 20:33:59,241,262,256,10.74,104.14,249.96
2025-04-25 20:34:00,179,134,233,129.94,48.58,156.33
2025-04-25 20:34:00,179,134,136,129.94,135.27,92.19
2025-04-25 20:34:02,173,158,80,84.44,169.9,72.19
2025-04-25 20:34:02,98,122,198,32,43.83,115.93
2025-04-25 20:34:02,98,44,198,105.45,31.59,65.32
2025-04-25 20:34:03,163,44,250,192.39,5.54,14.33
2025-04-25 20:34:05,223,248,74,4.69,233.37,97.6
2025-04-25 20:34:05,223,248,132,4.69,201.23,153.28
2025-04-25 20:34:05,223,157,132,181,171.84,41.45
2025-04-25 20:34:06,256,277,87,8.11,263.87,110.01
2025-04-25 20:34:06,198,178,176,96.33,127.17,162.89
2025-04-25 20:34:06,389,359,195,161,356.78,149.48
2025-04-25 20:34:09,280,245,152,145.31,230.31,148.12
2025-04-25 20:34:10,104,86,152,78.75,78.61,74.67
2025-04-25 20:34:12,43,76,160,35.39,53.33,35.11
2025-04-25 20:34:12,410,414,337,45.27,238.52,366.96
2025-04-25 20:34:12,410,414,203,45.27,406.02,163.4
2025-04-25 20:34:16,347,292,221,220.19,251.49,174.36
2025-04-25 20:34:17,195,181,63,85.43,196.54,68.53
2025-04-25 20:34:17,195,181,127,85.43,163.21,129.18
2025-04-25 20:34:17,202,199,185,65.76,128.2,181.83
2025-04-25 20:34:17,202,199,46,65.76,212.47,65.99
2025-04-25 20:34:17,178,199,46,21.76,197.81,60.52
2025-04-25 20:34:19,417,339,366,325.2,158.7,262.43
2025-04-25 20:34:19,337,339,366,53.87,68.26,356.55
2025-04-25 20:34:20,257,251,203,74.2,169.47,219.42
2025-04-25 20:34:21,214,225,91,37.13,210.68,117.36
2025-04-25 20:34:25,104,60,180,101.07,52.02,70.96
2025-04-25 20:34:25,90,99,227,50.66,7.29,108.54
2025-04-25 20:34:28,333,264,383,248.89,1.02,264.24
2025-04-25 20:34:29,229,209,104,101.5,208.76,114.88
2025-04-25 20:34:31,364,330,168,166.82,337.26,116.88
2025-04-25 20:34:31,364,362,168,66.55,353.98,159.71
2025-04-25 20:34:31,364,362,135,66.55,378.93,84.96
2025-04-25 20:34:31,199,105,271,202.57,10.07,106.33
2025-04-25 20:34:31,199,105,223,202.57,65.47,84.39
2025-04-25 20:34:33,148,181,71,6.51,167,61.25
2025-04-25 20:34:33,157,181,71,20.2,171.57,71.59
2025-04-25 20:34:33,157,123,239,108.17,27.41,150.06
2025-04-25 20:34:35,401,287,383,415.3,85.77,77.01
2025-04-25 20:34:35,312,287,252,128.65,179.89,260.87
2025-04-25 20:34:35,411,354,243,255.94,330.58,140.34
2025-04-25 20:34:37,170,68,212,186.65,53.55,47.9
2025-04-25 20:34:39,131,89,140,109,98.96,65.17
2025-04-25 20:34:40,352,364,379,21.2,75.31,373.9
2025-04-25 20:34:40,352,364,317,21.2,172.96,339.94
2025-04-25 20:34:41,411,364,317,223.52,240.4,294.5
2025-04-25 20:34:42,418,337,296,335.06,264.21,136.48
2025-04-25 20:34:42,416,355,255,271.21,323.32,144.3
2025-04-25 20:34:47,218,168,138,152.92,167.18,100.85
2025-04-25 20:34:47,374,380,138,39.65,397.96,57.21
2025-04-25 20:34:47,374,380,430,39.65,15.93,401.73
2025-04-25 20:34:50,430,375,362,258.23,201,323.29
2025-04-25 20:34:50,430,375,325,258.23,258.58,279.38
2025-04-25 20:34:51,447,361,350,371.03,234.68,186.52
2025-04-25 20:34:51,447,361,376,371.03,192.1,230.13
2025-04-25 20:34:52,163,183,256,26.17,26.17,189.42
2025-04-25 20:34:52,163,183,223,26.17,63.22,180.46
2025-04-25 20:34:53,418,319,430,388.76,35.84,219.73
2025-04-25 20:34:53,418,319,350,388.76,175.84,136.56
2025-04-25 20:34:53,330,319,350,92.5,77.08,339.27
2025-04-25 20:34:53,330,220,350,339.58,35.9,113.99
2025-04-25 20:34:53,330,220,344,339.58,45.33,110.58
2025-04-25 20:34:54,61,92,139,32.49,75.67,38.73
2025-04-25 20:34:54,74,92,139,43.05,79.19,51.88
2025-04-25 20:34:57,142,144,90,57.12,145.45,71.88
2025-04-25 20:34:57,381,371,178,93.83,369.48,153.63
2025-04-25 20:34:58,406,336,252,293.92,304.71,104.23
2025-04-25 20:34:58,229,169,252,174.5,68.33,178.78
2025-04-25 20:34:59,400,317,396,328.71,75.68,266.68
2025-04-25 20:34:59,400,395,396,77.81,117.5,406.25
2025-04-25 20:34:59,441,400,361,213.92,231.35,350.08
2025-04-25 20:34:59,441,417,361,151.8,241.7,374.67
2025-04-25 20:35:00,325,256,181,244.29,252.42,51.32
2025-04-25 20:35:00,325,256,293,244.29,127.82,223.63
2025-04-25 20:35:00,434,368,293,297.05,305.01,184.47
2025-04-25 20:35:00,434,368,318,297.05,270.06,232.65
2025-04-25 20:35:02,85,62,134,79.84,81.55,14.19
2025-04-25 20:35:02,221,243,285,11.97,45.87,246.48
2025-04-25 20:35:03,204,195,156,77.21,152.46,159.84
2025-04-25 20:35:03,216,110,217,230.48,83.89,18.85
2025-04-25 20:35:05,270,209,298,197,53.87,219.75
2025-04-25 20:35:06,327,343,211,11.33,265.96,237.88
2025-04-25 20:35:06,308,226,208,262.95,199.51,72.79
2025-04-25 20:35:06,308,265,208,173.41,214.43,195.43
2025-04-25 20:35:07,116,104,237,74,6.89,125.67
2025-04-25 20:35:07,302,262,237,164,177.11,227.94
2025-04-25 20:35:07,260,262,31,55.15,281.6,41.97
2025-04-25 20:35:09,329,340,93,26.59,355.89,38.98
2025-04-25 20:35:10,403,388,202,113.19,382.94,167.44
2025-04-25 20:35:10,64,108,149,17.47,72.08,57.75
2025-04-25 20:35:12,167,146,205,92.64,73.69,157.47
2025-04-25 20:35:13,208,215,89,45.91,204.19,113.33
2025-04-25 20:35:14,208,184,231,105.2,81.89,197.16
2025-04-25 20:35:15,448,365,340,361.91,253.81,181.88
2025-04-25 20:35:15,358,323,294,168.06,190.26,293.43
2025-04-25 20:35:16,323,320,128,68.79,319.46,133.5
2025-04-25 20:35:16,323,336,128,21.05,327.42,130.24
2025-04-25 20:35:17,323,336,332,21.05,106.42,335.92
2025-04-25 20:35:17,313,306,81,79.8,329.47,52.27
2025-04-25 20:35:17,201,128,261,178.32,28.36,144.08
2025-04-25 20:35:18,228,128,261,233.33,46.7,99.69
2025-04-25 20:35:18,323,287,233,160.5,212.08,232.1
2025-04-25 20:35:19,323,217,359,325,13.52,137.12
2025-04-25 20:35:19,157,125,183,105.6,84.07,129.42
2025-04-25 20:35:20,157,125,262,105.6,0.95,154.33
2025-04-25 20:35:20,236,125,262,254.71,50.66,57.55
2025-04-25 20:35:21,376,257,385,403.61,40.67,16.7
2025-04-25 20:35:23,218,199,213,97.76,112.15,198.41
2025-04-25 20:35:26,312,324,277,25.2,166.46,297.69
2025-04-25 20:35:26,312,324,266,25.2,180.28,289.53
2025-04-25 20:35:26,93,107,136,44.83,89.97,70.88
2025-04-25 20:35:27,101,107,136,53.3,92.79,75.56
2025-04-25 20:35:27,285,258,279,127.84,109.83,266.12
2025-04-25 20:35:27,285,279,279,75.6,118.53,281.89
2025-04-25 20:35:27,274,279,39,47.23,298.08,36.55
2025-04-25 20:35:31,325,323,276,65.9,179.83,298.91
2025-04-25 20:35:32,348,253,277,321.65,171.05,100.85
2025-04-25 20:35:32,273,253,277,108.83,100.11,264.47
2025-04-25 20:35:33,214,115,252,220.46,44.95,94.4
2025-04-25 20:35:33,200,159,220,131.58,81.4,170.18
2025-04-25 20:35:34,68,93,222,36.98,4.88,90.62
2025-04-25 20:35:35,353,346,229,82.14,275.49,253.07
2025-04-25 20:35:35,402,346,229,248.53,330.96,123.78
2025-04-25 20:35:36,96,137,131,9.95,100.75,75.01
2025-04-25 20:35:37,141,78,170,133.24,78.71,72.75
2025-04-25 20:35:37,301,193,276,309.3,104.96,53.65
2025-04-25 20:35:40,262,268,279,45.25,94.51,272.55
2025-04-25 20:35:40,262,253,279,81.56,88.45,266.06
